iter	MAPE
0	0.6497978316
1	0.6424520118
2	0.6356555415
3	0.629106421
4	0.6228612935
5	0.6165439874
6	0.6110019302
7	0.6053330632
8	0.6000861713
9	0.5949211297
10	0.5896541465
11	0.5844071776
12	0.5790933513
13	0.5742887459
14	0.5696231057
15	0.5651062326
16	0.5613187424
17	0.5573294671
18	0.5535469559
19	0.549494101
20	0.5454825336
21	0.5418142429
22	0.5384328773
23	0.5353757594
24	0.5321673717
25	0.529062179
26	0.5258409141
27	0.5227133637
28	0.5200380709
29	0.5174246058
30	0.5146008622
31	0.5119907798
32	0.5094249421
33	0.5069453818
34	0.504505605
35	0.5018601387
36	0.4994365416
37	0.4968738001
38	0.4946817168
39	0.4931122405
40	0.4908423434
41	0.4885184152
42	0.4866412991
43	0.4847337556
44	0.4826468012
45	0.4807402731
46	0.4787049491
47	0.4769283581
48	0.4753998926
49	0.4735645294
50	0.4718623126
51	0.4702941723
52	0.4686373315
53	0.4671153417
54	0.4657801192
55	0.4641619244
56	0.4624463307
57	0.4612024846
58	0.4598452637
59	0.4585196233
60	0.45729793
61	0.4560907353
62	0.4548501804
63	0.4535022064
64	0.4523432954
65	0.451273454
66	0.4501961341
67	0.4490542936
68	0.447821037
69	0.4465604271
70	0.4451869541
71	0.4440514223
72	0.4429203802
73	0.4419531559
74	0.441021784
75	0.44009143
76	0.4390601423
77	0.4377796873
78	0.436773517
79	0.435684404
80	0.4344264842
81	0.4336430732
82	0.4326108839
83	0.4317485234
84	0.430643964
85	0.429873893
86	0.4290589398
87	0.428283157
88	0.4275982276
89	0.4266541019
90	0.4258733238
91	0.4249354385
92	0.4241554008
93	0.4233701027
94	0.4224142827
95	0.4217872542
96	0.4211138343
97	0.4203308578
98	0.4195699663
99	0.4188537533
100	0.4180915298
101	0.4173102145
102	0.4166200235
103	0.4158151865
104	0.4153382093
105	0.4145873461
106	0.4138651204
107	0.4129330149
108	0.4121366773
109	0.4116871357
110	0.4110700046
111	0.4104940784
112	0.4097990444
113	0.4089869461
114	0.4084047054
115	0.4075333383
116	0.4068571775
117	0.4061277634
118	0.4052121699
119	0.4046103395
120	0.4040430339
121	0.4034735521
122	0.4027742871
123	0.4021313441
124	0.4014518611
125	0.4008247215
126	0.4003378118
127	0.3997153218
128	0.3991914976
129	0.398573896
130	0.3979668661
131	0.3973340025
132	0.3968866172
133	0.3964325713
134	0.3959674448
135	0.3953487803
136	0.3946939165
137	0.3939113865
138	0.3933514174
139	0.3927819551
140	0.3921843735
141	0.3915462701
142	0.3910379691
143	0.3902359036
144	0.3898167745
145	0.3893013187
146	0.3888357432
147	0.3879557897
148	0.3875114793
149	0.3869835072
150	0.3865099456
151	0.3861145468
